"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/Name[1]";"Gesellschaft_Name"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/Str[1]";"Gesellschaft_Str"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/Hausnummer[1]";"Gesellschaft_Hausnummer"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/HNrZusatz[1]";"Gesellschaft_HNrZusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/Anschriftenzusatz[1]";"Gesellschaft_Anschriftenzusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/Ort[1]";"Gesellschaft_Ort"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/PLZ[1]";"Gesellschaft_PLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/AuslandsPLZ[1]";"Gesellschaft_AuslandsPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/Land[1]";"Gesellschaft_Land"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/PostfachOrt[1]";"Gesellschaft_PostfachOrt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/Postfach[1]";"Gesellschaft_Postfach"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/PostfachPLZ[1]";"Gesellschaft_PostfachPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/GKPLZ[1]";"Gesellschaft_GKPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/Telefon[1]";"Gesellschaft_Telefon"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/Email[1]";"Gesellschaft_Email"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Gesellschaft[1]/ISIN[1]";"Gesellschaft_ISIN"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Vertreter[1]/Kapitalgesellschaft[1]";"Vertreter_Kapitalgesellschaft"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Vertreter[1]/Str[1]";"Vertreter_Str"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Vertreter[1]/Hausnummer[1]";"Vertreter_Hausnummer"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Vertreter[1]/HNrZusatz[1]";"Vertreter_HNrZusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Vertreter[1]/Anschriftenzusatz[1]";"Vertreter_Anschriftenzusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Vertreter[1]/Ort[1]";"Vertreter_Ort"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Vertreter[1]/PLZ[1]";"Vertreter_PLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Vertreter[1]/AuslandsPLZ[1]";"Vertreter_AuslandsPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/Vertreter[1]/Land[1]";"Vertreter_Land"
