"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]";"/Datenabholung/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Fingerprint[1]";"/Datenabholung/Fingerprint"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Abholzertifikat[1]";"/Datenabholung/Abholzertifikat"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]";"/Anfrage/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@einschraenkung";"/Anfrage/Einschraenkung"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@von";"/Anfrage/Von"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@bis";"/Anfrage/Bis"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@veranlagungsjahr";"/Anfrage/Veranlagungsjahr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@steuerart";"/Anfrage/Steuerart"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@finanzamt";"/Anfrage/Finanzamt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@bundesland";"/Anfrage/Bundesland"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@max";"/Anfrage/Max"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@anforderungsticket";"/Anfrage/Anforderungsticket"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@agstnr";"/Anfrage/Agstnr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@schemaversion";"/Anfrage/Schemaversion"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@lieferticket";"/Anfrage/Lieferticket"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@idnr";"/Anfrage/IdNr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@belegart";"/Anfrage/Belegart"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Anfrage[1]/@geschaeftszeichen";"/Anfrage/Geschaeftszeichen"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Abholung[1]";"/Abholung/Exists"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Abholung[1]/@id";"/Abholung/Id"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Abholung[1]/@idnr";"/Abholung/IdNr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Abholung[1]/@lieferticket";"/Abholung/Lieferticket"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Abholung[1]/@sendername";"/Abholung/Sendername"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Abholung[1]/@bezeichnungnachricht";"/Abholung/Bezeichnungnachricht"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/Datenabholung[1]/Abholung[1]/@dokumenttyp";"/Abholung/Dokumenttyp"
