Bundesland;Gemeindeschluessel;Gemeinde;Gemarkung;Gemarkungsnummer
SH;01061001;Aasbüttel;Aasbüttel;012001
SH;01061001;Aasbüttel;Oldenbüttel;012091
SH;01058001;Achterwehr;Felde;012644
SH;01058001;Achterwehr;Hohenschulen;012601
SH;01058001;Achterwehr;Klein-Nordsee;012645
SH;01058001;Achterwehr;Marutendorf;012602
SH;01054001;Achtrup;Achtrup;015501
SH;01054001;Achtrup;Lütjenhorn;015539
SH;01061002;Aebtissinwisch;Aebtissinwisch;012002
SH;01061003;Agethorst;Agethorst;012003
SH;01058175;Ahlefeld-Bistensee;Ahlefeld;010003
SH;01058175;Ahlefeld-Bistensee;Bistensee;010034
SH;01058175;Ahlefeld-Bistensee;Bistensee (See);010036
SH;01058175;Ahlefeld-Bistensee;Damendorf;010079
SH;01059102;Ahneby;Ahneby;011001
SH;01059102;Ahneby;Sterup;011213
SH;01059102;Ahneby;Sörup;011210
SH;01062001;Ahrensburg;Ahrensburg;015001
SH;01062001;Ahrensburg;Ahrensfelde;015002
SH;01055001;Ahrensbök;Ahrensbök;010501
SH;01055001;Ahrensbök;Ahrensbök-Vorwerk;010502
SH;01055001;Ahrensbök;Barghorst;010504
SH;01055001;Ahrensbök;Böbs;010510
SH;01055001;Ahrensbök;Cashagen;010514
SH;01055001;Ahrensbök;Dakendorf;010517
SH;01055001;Ahrensbök;Dunkelsdorf;010519
SH;01055001;Ahrensbök;Gießelrade;010526
SH;01055001;Ahrensbök;Gnissau;010528
SH;01055001;Ahrensbök;Grebenhagen;010532
SH;01055001;Ahrensbök;Havekost;010540
SH;01055001;Ahrensbök;Hohenhorst;010543
SH;01055001;Ahrensbök;Holstendorf;010544
SH;01055001;Ahrensbök;Lebatz;010557
SH;01055001;Ahrensbök;Neuhof-Vorwerk;010568
SH;01055001;Ahrensbök;Schwienkuhlen;010591
SH;01055001;Ahrensbök;Schwochel;010592
SH;01055001;Ahrensbök;Siblin;010595
SH;01055001;Ahrensbök;Spechserholz;010599
SH;01055001;Ahrensbök;Tankenrade;010603
SH;01054002;Ahrenshöft;Ahrenshöft;011501
SH;01054003;Ahrenviöl;Ahrenviöl;011502
SH;01054004;Ahrenviölfeld;Ahrenviölfeld;011599
SH;01051001;Albersdorf;Albersdorf;013001
SH;01053001;Albsfelde;Albsfelde;017001
SH;01054005;Alkersum;Alkersum;015502
SH;01054006;Almdorf;Almdorf;011598
SH;01059001;Alt Bennebek;Alt Bennebek;018001
SH;01058003;Alt Duvenstedt;Alt Duvenstedt;010006
SH;01058003;Alt Duvenstedt;Lohe-Föhrden;010250
SH;01058003;Alt Duvenstedt;Neu Duvenstedt;010285
SH;01058003;Alt Duvenstedt;Rickert;010354
SH;01053002;Alt-Mölln;Alt-Mölln;017004
SH;01058004;Altenhof;Altenhof;010010
SH;01058004;Altenhof;Aschau;010014
SH;01058004;Altenhof;Marienthal;010269
SH;01058005;Altenholz;Friedrichshof;010111
SH;01058005;Altenholz;Holtenau;010191
SH;01058005;Altenholz;Kaltenhof;010205
SH;01058005;Altenholz;Klausdorf;010218
SH;01058005;Altenholz;Knoop;010225
SH;01058005;Altenholz;Projensdorf;010485
SH;01058005;Altenholz;Stift;010411
SH;01055002;Altenkrempe;Hasselburg-Altenkrempe;014066
SH;01055002;Altenkrempe;Kassau;014078
SH;01055002;Altenkrempe;Mühlenkamp;014120
SH;01055002;Altenkrempe;Plunkau;014138
SH;01055002;Altenkrempe;Sibstin;014166
SH;01055002;Altenkrempe;Sierhagen;014167
SH;01055002;Altenkrempe;Stolpe;014176
SH;01061004;Altenmoor;Altenmoor;012004
SH;01060002;Alveslohe;Alveslohe;019003
SH;01060002;Alveslohe;Kaden;019055
SH;01062090;Ammersbek;Bünningstedt;015020
SH;01062090;Ammersbek;Hoisbüttel;015051
SH;01056001;Appen;Appen;016501
SH;01056001;Appen;Esingen;016622
SH;01056001;Appen;Moorrege;016654
SH;01056001;Appen;Prisdorf;016662
SH;01051002;Arkebek;Arkebek;013004
SH;01054007;Arlewatt;Arlewatt;011503
SH;01060003;Armstedt;Armstedt;019004
SH;01059002;Arnis;Arnis;018003
SH;01058007;Arpsdorf;Arpsdorf;014501
SH;01057001;Ascheberg (Holstein);Ascheberg;016002
SH;01057001;Ascheberg (Holstein);Kalübbe;016080
SH;01057001;Ascheberg (Holstein);Langenrade;016097
SH;01057001;Ascheberg (Holstein);Plöner See;016128
SH;01058008;Ascheffel;Ascheffel;010015
SH;01058008;Ascheffel;Bistensee;010035
SH;01058009;Aukrug;Bargfeld;014502
SH;01058009;Aukrug;Böken;014506
SH;01058009;Aukrug;Bünzen;014516
SH;01058009;Aukrug;Homfeld;014542
SH;01058009;Aukrug;Innien;014544
SH;01053003;Aumühle;Sachsenwald;017219
SH;01059103;Ausacker;Ausacker;011002
SH;01061005;Auufer;Auufer;012005
SH;01054009;Aventoft;Aventoft;015507
SH;01051003;Averlak;Averlak;013006
SH;01060004;Bad Bramstedt;Bad Bramstedt;019015
SH;01060004;Bad Bramstedt;Fuhlendorf;019224
SH;01060004;Bad Bramstedt;Lentföhrden;019225
SH;01062004;Bad Oldesloe;Altfresenburg;015005
SH;01062004;Bad Oldesloe;Blumendorf;015015
SH;01062004;Bad Oldesloe;Neufresenburg;015081
SH;01062004;Bad Oldesloe;Oldesloe;015092
SH;01062004;Bad Oldesloe;Poggensee;015097
SH;01062004;Bad Oldesloe;Rethwischfeld;015105
SH;01062004;Bad Oldesloe;Schadehorn;015109
